audit company, critical_and_high, critical, high, medium, low, gas, info, undetermined, unknown, total, audit count, BLANK, critical_and_high average, critical average, high average, medium average, low average, gas average, info average, undetermined average, unknown average, total average
codearena,685,0,685,1490,1305,5720,4163,1255,76,14694,163, ,4.2024539877300615,0.0,4.2024539877300615,9.141104294478527,8.006134969325153,35.0920245398773,25.539877300613497,7.699386503067485,0.4662576687116564,90.14723926380368
gitbook,0,0,0,0,0,0,0,0,271,271,271, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
immunefi,0,0,0,0,0,0,0,0,48,48,48, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
tob,86,0,86,98,136,0,182,34,0,536,44, ,1.9545454545454546,0.0,1.9545454545454546,2.227272727272727,3.090909090909091,0.0,4.136363636363637,0.7727272727272727,0.0,12.181818181818182
yaudit,68,6,62,79,172,245,393,0,0,957,31, ,2.193548387096774,0.1935483870967742,2.0,2.5483870967741935,5.548387096774194,7.903225806451613,12.67741935483871,0.0,0.0,30.870967741935484
spearbit,171,36,135,221,356,292,743,0,0,1783,30, ,5.7,1.2,4.5,7.366666666666666,11.866666666666667,9.733333333333333,24.766666666666666,0.0,0.0,59.43333333333333
dedaub,11,5,6,25,29,0,130,0,0,195,20, ,0.55,0.25,0.3,1.25,1.45,0.0,6.5,0.0,0.0,9.75
hacklabs,0,0,0,0,0,0,0,0,101,101,100, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01
halborn,205,83,122,248,440,0,463,0,0,1356,197, ,1.0406091370558375,0.4213197969543147,0.6192893401015228,1.2588832487309645,2.233502538071066,0.0,2.350253807106599,0.0,0.0,6.883248730964467
oak,133,0,133,234,477,0,351,0,0,1195,130, ,1.023076923076923,0.0,1.023076923076923,1.8,3.669230769230769,0.0,2.7,0.0,0.0,9.192307692307692
slowmist,48,25,23,64,90,0,29,0,141,372,64, ,0.75,0.390625,0.359375,1.0,1.40625,0.0,0.453125,0.0,2.203125,5.8125
